feature,mean_abs_shap
avg_monthly_transaction_count,2.7230799273024027
avg_standing_order_amount,1.5015596624532006
avg_transaction_amount,0.9987549824724927
balance_volatility,0.6449105331906723
account_age_days,0.5889681136692249
credit_debit_ratio,0.5104922640436586
min_balance_ever,0.43433061009910595
standing_order_count,0.4226058197221602
transaction_trend,0.419161662949753
avg_balance,0.3560257678556994
client_age,0.2873724638932937
district_urban_ratio,0.2521805157320712
district_avg_salary,0.2225004085376216
total_debit_amount,0.20892344798128473
total_credit_amount,0.17081624529303846
total_transaction_count,0.15434099635222237
district_crimes_count,0.14976504838958665
district_unemployment_rate,0.14313441719777012
gender,0.08762900194650514
statement_frequency,0.03437977083584567
has_card,0.01933255788633191
days_since_last_transaction,0.0
card_type,0.0
has_standing_order,0.0
